
央视频道,#genre#
大湾区卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225748/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225767/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广东卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226382/index.m3u8?servicetype=3&IASHttpSessionId=OTT

凤凰频道,#genre#
凤凰资讯台FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226324/index.m3u8?servicetype=3&IASHttpSessionId=OTT
凤凰中文台FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226331/index.m3u8?servicetype=3&IASHttpSessionId=OTT
凤凰香港台FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226321/index.m3u8?servicetype=3&IASHttpSessionId=OTT


广西频道,#genre#
广西新闻FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226407/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西都市FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226335/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西影视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226336/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西移动FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226338/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西综艺旅游FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226409/index.m3u8?servicetype=3&IASHttpSessionId=OTT
桂林科教旅游FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226339/index.m3u8?servicetype=3&IASHttpSessionId=OTT
南宁公共FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226340/index.m3u8?servicetype=3&IASHttpSessionId=OTT
桂林公共FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226342/index.m3u8?servicetype=3&IASHttpSessionId=OTT
南宁新闻FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226341/index.m3u8?servicetype=3&IASHttpSessionId=OTT
南宁文旅FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226344/index.m3u8?servicetype=3&IASHttpSessionId=OTT
贵港新闻FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226345/index.m3u8?servicetype=3&IASHttpSessionId=OTT
桂林新闻FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226343/index.m3u8?servicetype=3&IASHttpSessionId=OTT
梧州教育FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226444/index.m3u8?servicetype=3&IASHttpSessionId=OTT
钦州公共FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226459/index.m3u8?servicetype=3&IASHttpSessionId=OTT
北海新闻FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226346/index.m3u8?servicetype=3&IASHttpSessionId=OTT
钦州新闻FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226347/index.m3u8?servicetype=3&IASHttpSessionId=O
柳州新闻FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226348/index.m3u8?servicetype=3&IASHttpSessionId=OTT
梧州新闻FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226349/index.m3u8?servicetype=3&IASHttpSessionId=OTT
防城港新闻 FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226350/index.m3u8?servicetype=3&IASHttpSessionId=OTT
崇左综合FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226351/index.m3u8?servicetype=3&IASHttpSessionId=OTT
贺州综合FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226352/index.m3u8?servicetype=3&IASHttpSessionId=OTT
百色综合FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226353/index.m3u8?servicetype=3&IASHttpSessionId=OTT
玉林新闻综合FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226354/index.m3u8?servicetype=3&IASHttpSessionId=OTT
来宾综合FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226357/index.m3u8?servicetype=3&IASHttpSessionId=OTT
贵港科教生活FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226424/index.m3u8?servicetype=3&IASHttpSessionId=OTT
北海经济科教FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226431/index.m3u8?servicetype=3&IASHttpSessionId=OTT
柳州科教FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226434/index.m3u8?servicetype=3&IASHttpSessionId=OTT
防城港公共FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226441/index.m3u8?servicetype=3&IASHttpSessionId=OTT



















